Species,Common name,Family,Growth form,plant type,SLA,LogSLA,Amass,LogAmass,Aarea,Gmass,LogGmass,Garea,Rdmass,nLogRdmass,Rdarea,%C,%H,%N,log%N,
Anredera cordifolia,Madiera vine,Basellaceae,Climber,Exotic,20.46935858,1.311104234,434.6327138,2.638122412,12.74,4.191442325,0.622363495,0.12286,-48.30086312,1.683954892,-1.4158,37.776,5.9098,3.0526,0.4846699,
Bidens pilosa,Bidens,Asteraceae,Annual herb,Exotic,31.20393549,1.494209371,1271.040306,3.104159323,24.44,46.16102191,1.664275415,0.8876,-53.72277561,1.730158443,-1.033,43.788,5.9376,4.4728,0.650579479,
Cotoneaster glaucophyllus,Cotoneaster,Rosaceae,Shrub,Exotic,9.506429713,0.978017442,223.004997,2.348314595,14.075,4.313542482,0.63483408,0.27225,-14.79749532,1.170188211,-0.915295179,48.072,6.9326,1.9844,0.297629218,
Eragrostis curvula,African love grass,Poaceae,Grass,Exotic,11.66691062,1.066955871,466.1575957,2.668532765,49.21273997,3.911137312,0.592303063,0.414255249,-22.9964851,1.361661461,-1.182651647,45.912,6.7366,2.2554,0.353223576,
Lantana camara,Lantana,Verbenaceae,Shrub,Exotic,13.00918395,1.114250055,297.0430335,2.472819371,14.36763018,3.260968776,0.51334664,0.1504,-29.6609394,1.472184902,-1.368,43.848,6.2208,3.4096,0.532703432,
Myrsiphyllum asparagoides,Bridal creeper,Liliaceae,Climber,Exotic,29.51414347,1.470030184,318.0210889,2.50245592,7.555535555,4.476538852,0.650942358,0.106939109,-38.96053293,1.590624889,-0.735331603,46.304,6.4346,3.2468,0.511455537,
Olea africana,Olive,Oleaceae,Shrub/tree,Exotic,5.327374832,0.726513255,106.9862059,2.029327786,11.62440795,0.877511036,-0.056747413,0.095715462,-9.583935654,0.981543889,-1.015304304,49.282,6.3966,1.7348,0.239249413,
Plantago lanceolata,Plantago,Plantaginaceae,Perennial herb,Exotic,20.91972851,1.320556044,591.3309925,2.771830642,16.96,18.92538106,1.277044633,0.5428,-23.64626646,1.373762579,-0.6782,38.49,6.1802,4.598,0.662568967,
Rubus fruticosus,Blackberry,Rosaceae,Shrub,Exotic,12.33623666,1.091182692,300.1817587,2.477384298,14.6,8.363968456,0.922412386,0.4068,-17.25428301,1.236896917,-0.8392,46.552,6.6092,2.7578,0.440562767,
Senecio sp,Senecio,Asteraceae,Perennial herb,Exotic,33.28475205,1.522245326,1062.893082,3.02648958,19.16,28.63598168,1.456912076,0.5162,-57.96348001,1.763154452,-1.169465959,41.308,5.9066,4.393,0.642761203,
Solanum nigrum,Blackberry nightshade,Solanaceae,Perennial herb,Exotic,36.23870627,1.559172685,928.9188374,2.96797777,15.38,21.2238023,1.326823192,0.3514,-55.76942957,1.746396202,-1.183198266,43.14,6.1016,5.5084,0.74102547,
Acacia falcata,Acacia falcata,Mimosaceae,Shrub,Native,6.350169082,0.802785289,125.3524424,2.0981328,11.58482817,4.235969953,0.626952871,0.390364883,-15.30365846,1.184795265,-1.495353179,50.336,6.9546,2.2958,0.360934052,
Brunoniella australis,Brunoniella,Acanthaceae,Perennial herb,Native,14.86658507,1.17221122,390.1679182,2.591251556,14.8921081,6.148578456,0.788774719,0.235835732,-31.49790333,1.498281646,-1.156539455,40.856,6.458,3.9876,0.600711587,
Bursaria spinosa,Bursaria,Pittosporaceae,Shrub,Native,10.40282568,1.017151321,200.5310804,2.302181694,12.18924655,3.945850317,0.596140607,0.238209028,-13.41482311,1.12758495,-0.688464218,49.506,6.3074,1.9926,0.299420126,
