Ring.ID,Date,Depth..cm.,N,CRB..g.m2.,sd,se,ci
1,14-Feb,0,5,194.5511722,131.0089722,58.58899349,162.6691242
1,14-Feb,30,2,901.4543785,633.8231939,448.1806785,5694.67546
2,14-Feb,0,3,293.69417,332.3068577,191.8574538,825.4959972
2,14-Feb,30,1,392.158111,NA,NA,NA
3,14-Feb,0,8,609.2456368,1200.609485,424.479554,1003.734648
3,14-Feb,30,7,405.9818664,643.3462938,243.1620429,594.9960845
4,14-Feb,0,6,321.7054663,230.580566,94.13412189,241.9794638
4,14-Feb,30,3,453.273658,313.1654357,180.8061486,777.9460688
5,14-Feb,0,5,1455.56868,2762.706603,1235.519953,3430.353327
5,14-Feb,30,8,1152.919388,1131.55475,400.0650184,946.0034447
6,14-Feb,0,7,353.5971033,245.2541847,92.69736868,226.82229
6,14-Feb,30,8,480.6483315,577.5514232,204.1952639,482.8450732
1,14-Jun,0,1,58.53930752,NA,NA,NA
1,14-Jun,30,2,104.4087017,30.27816857,21.40989832,272.0385514
2,14-Jun,0,3,1064.711169,1536.794642,887.2688005,3817.609526
2,14-Jun,30,4,310.208033,136.3683896,68.18419479,216.9925388
3,14-Jun,0,6,123.2092085,83.83587639,34.22585322,87.98035659
3,14-Jun,30,3,121.6477411,196.0538222,113.191727,487.0246932
4,14-Jun,0,4,255.3470749,217.1168304,108.5584152,345.4813273
4,14-Jun,30,6,340.9553136,258.4542786,105.5135174,271.2311312
5,14-Jun,0,8,607.754025,612.0547267,216.3940239,511.6905567
5,14-Jun,30,8,1249.745038,1174.369556,415.2023385,981.7975189
6,14-Jun,0,2,187.9734091,78.56322755,55.55259095,705.8625942
6,14-Jun,30,6,1196.073543,2419.75793,987.8620382,2539.380212
1,14-Sep,0,4,51.260575,26.70639857,13.35319929,42.49583973
1,14-Sep,30,2,361.2686,463.8064699,327.9607,4167.1358
2,14-Sep,0,5,61.3599,44.44732512,19.87744808,55.18864342
2,14-Sep,30,4,159.001975,120.145501,60.07275049,191.1783029
3,14-Sep,0,7,476.5184857,994.0504795,375.7157656,919.3433596
3,14-Sep,30,6,236732.5992,579139.755,236432.8149,607769.8994
4,14-Sep,0,6,111.3828833,91.24638009,37.25117868,95.75720328
4,14-Sep,30,6,316.42515,287.6686698,117.4402427,301.8897546
5,14-Sep,0,6,312.3847667,316.0201361,129.0146803,331.6427938
5,14-Sep,30,8,694.6787625,920.0755857,325.2958429,769.2024392
6,14-Sep,0,7,204.7148857,176.0118237,66.52621619,162.7837868
6,14-Sep,30,5,493.71084,402.8390693,180.1551086,500.1907694
1,14-Dec,0,4,216.2213,162.8164021,81.40820103,259.0772286
1,14-Dec,30,4,294.4618,242.6400692,121.3200346,386.0944958
2,14-Dec,0,4,2653.670275,4765.952572,2382.976286,7583.694077
2,14-Dec,30,5,1017.56178,1523.776692,681.4536531,1892.018659
3,14-Dec,0,7,147.5501286,147.7563582,55.84665407,136.6518397
3,14-Dec,30,6,310.5003667,144.5382838,59.00750726,151.6836263
4,14-Dec,0,7,195.6421429,126.3811751,47.76759424,116.8830924
4,14-Dec,30,4,3332.688225,6159.77485,3079.887425,9801.576356
5,14-Dec,0,8,190.7056125,212.7163776,75.20659652,177.835342
5,14-Dec,30,4,1417.20325,1868.760088,934.3800441,2973.614319
6,14-Dec,0,3,101.5704667,50.86331678,29.36594963,126.3514833
6,14-Dec,30,8,1161.409675,1158.104703,409.4518443,968.1997609
1,15-May,0,3,65.65066667,27.83207565,16.06885637,69.13870872
1,15-May,30,3,935.8733333,1425.95509,823.275555,3542.268814
2,15-May,0,3,75.35346667,48.55878519,28.0354277,120.6267095
2,15-May,30,3,262.9244,238.3416339,137.6066065,592.073441
3,15-May,0,5,78.91286,59.84109653,26.76175194,74.30253517
3,15-May,30,6,458.20845,559.4035543,228.3755447,587.058027
4,15-May,0,4,100.0635,76.77336168,38.38668084,122.1635506
4,15-May,30,2,452.2733,508.0679603,359.2583,4564.809513
5,15-May,0,3,45.02583333,10.83962174,6.258258528,26.92711314
5,15-May,30,6,636.8893167,1159.783308,473.4795529,1217.117938
6,15-May,0,4,205.6769,292.0179627,146.0089813,464.6657432
6,15-May,30,6,1315.8835,1644.36652,671.3098207,1725.656831
1,15-Sep,0,6,98.07823333,85.77478627,35.01740986,90.01511772
1,15-Sep,30,3,188.0952333,134.089862,77.41681792,333.097683
2,15-Sep,0,7,107.3615,101.1319466,38.2242829,93.53145084
2,15-Sep,30,8,340.6249875,359.8177594,127.2147888,300.8151749
3,15-Sep,0,4,384.566325,272.1604148,136.0802074,433.0679533
3,15-Sep,30,6,585.2891167,548.3457903,223.8612315,575.4536153
4,15-Sep,0,7,128.1341143,85.22058752,32.21035445,78.81589804
4,15-Sep,30,8,310.912,370.2635479,130.9079328,309.5480726
5,15-Sep,0,7,101.8950286,113.9712385,43.07707911,105.4058154
5,15-Sep,30,8,498.0229625,755.0819802,266.9617943,631.264333
6,15-Sep,0,6,68.45238333,48.37254684,19.74800955,50.76387464
6,15-Sep,30,6,1447.7891,3025.722787,1235.246155,3175.301329
