Site,Total_NPP_low,Total_NPP_high,MAT,MAP
1,17.2,31.5,27.2,1171
2,11.8,21.7,26.7,2300
3,11.5,21.2,26.7,2300
4,11.4,20.9,26.7,2300
5,10.6,19.4,26.7,2300
6,9.5,17.4,,1750
7,9.2,16.8,27.5,3150
8,9.2,16.8,27.5,3150
9,9,16.5,26,3450
10,8.7,15.9,22.2,7670
11,8.6,15.8,27,5310
12,8,14.7,28.6,6100
13,8,14.7,,6520
14,7.7,14.1,26.9,1900
15,7.4,13.6,,1739
16,7.4,13.5,26.2,2095
17,7.3,13.3,15.8,2230
18,6.9,12.7,15.5,2230
19,6.9,12.7,15.5,2230
20,6.7,12.4,15.3,2230
21,6.7,12.4,25,1807
22,6.7,12.2,24.9,707
23,6.4,11.7,24.9,707
24,6.3,11.5,24.9,707
25,6.1,11.2,13,3985
26,6,11,,3725
27,6,11,25.1,860
28,5.3,9.8,19.7,3725
29,5.3,9.7,19,5000
30,4.8,8.8,27.2,2696
31,4.8,8.7,16,2500
32,4.7,8.6,16,2500
33,4.7,8.6,16,2500
34,4,7.3,16,2500
35,3.9,7.2,19.3,5800
36,3.9,7.1,13,2600
37,3.5,6.3,26,3550
38,2.2,4,26.2,3500
39,1.7,3.1,15,1500
