Forest type,Dominant species,Age,Treatment,Method,GPPestimate,GPP,NPP,CUE,References
Boreal,Picea mariana,150,n/a,Biometric/scaling,Derived,1080,252,0.23,RyanÊet al.Ê(1997)
Boreal,Pinus banksiana,63,n/a,Biometric/scaling,Derived,880,229,0.26,RyanÊet al.Ê(1997)
Boreal,Populus tremuloides,53,n/a,Biometric/scaling,Derived,1160,416,0.36,RyanÊet al.Ê(1997)
Boreal,Picea mariana,115,n/a,Biometric/scaling,Derived,1090,307,0.28,RyanÊet al.Ê(1997)
Boreal,Pinus banksiana,63,n/a,Biometric/scaling,Derived,772,237,0.31,RyanÊet al.Ê(1997)
Boreal,Populus tremuloides,68,n/a,Biometric/scaling,Derived,1350,440,0.33,RyanÊet al.Ê(1997)
Boreal,Picea mariana,115,n/a,Micromet/model,Independent,963,517,0.54,MalhiÊet al.Ê(1999)
Boreal,Picea mariana,120,n/a,"Biometric, model/micromet, model",Independent,812,181,0.22,TurnerÊet al.Ê(2003)
West Coast Maritime,Pseudotsuga menziesii,500,n/a,Biometric/scaling,Derived,1906,597,0.31,HarmonÊet al.Ê(2004)
West Coast Maritime,"Picea sitchensis, Tsuga heteropylla",n/a,n/a,Biometric/scaling,Derived,1400,681,0.49,WilliamsÊet al.Ê(1997)
West Coast Maritime,Almus rubra,n/a,n/a,Biometric/scaling,Derived,1558,813,0.52,WilliamsÊet al.Ê(1997)
West Coast Maritime,Pseudotsuga menziesii,n/a,n/a,Biometric/scaling,Derived,1665,770,0.46,WilliamsÊet al.Ê(1997)
West Coast Maritime,"Tsuga heteropylla, Pseudotsuga menziesii",n/a,n/a,Biometric/scaling,Derived,2404,1122.5,0.47,WilliamsÊet al.Ê(1997)
West Coast Maritime,Tsuga mertensiana,n/a,n/a,Biometric/scaling,Derived,879,373,0.42,WilliamsÊet al.Ê(1997)
West Coast Maritime,Juniperus occidentalis,n/a,n/a,Biometric/scaling,Derived,302,122,0.4,WilliamsÊet al.Ê(1997)
West Coast Maritime,Pinus ponderosa,n/a,n/a,Biometric/scaling,Derived,364,159,0.44,WilliamsÊet al.Ê(1997)
West Coast Maritime,Pinus ponderosa,45,n/a,Biometric/scaling,Derived,901,413,0.46,LawÊet al.Ê(1999)
West Coast Maritime,Pinus ponderosa,15,n/a,Biometric/scaling,Derived,1192,357,0.3,LawÊet al.Ê(2001)
West Coast Maritime,Pinus ponderosa,250,n/a,Biometric/scaling,Derived,1486,472,0.32,LawÊet al.Ê(2001)
West Coast Maritime,Pinus ponderosa,250,n/a,Biometric/model,Independent,1235,406,0.33,LawÊet al.Ê(2000)
Temperate Coniferous,Pinus taeda,15,Ambient CO2,Biometric/scaling,Derived,2371,705,0.3,HamiltonÊet al.Ê(2002)
Temperate Coniferous,Pinus taeda,15,Elevated CO2,Biometric/scaling,Derived,2805,897,0.32,HamiltonÊet al.Ê(2002)
Temperate Coniferous,Pinus taeda,12,Control,Biometric/scaling,Derived,1313,556,0.42,MaierÊet al.Ê(2004)
Temperate Coniferous,Pinus taeda,12,Irrigated,Biometric/scaling,Derived,1584,680,0.43,MaierÊet al.Ê(2004)
Temperate Coniferous,Pinus taeda,12,Fertilized,Biometric/scaling,Derived,2550,1032,0.4,MaierÊet al.Ê(2004)
Temperate Coniferous,Pinus taeda,12,"Irrigated, fertilized",Biometric/scaling,Derived,2664,1124,0.42,MaierÊet al.Ê(2004)
Temperate Coniferous,Pinus taeda,16,n/a,Biometric/scaling,Derived,4124,2056,0.5,KinersonÊet al.Ê(1977)
Temperate Coniferous,Pinus taeda,8,Fertilized,Model/model,Derived,1795,1185,0.66,LaiÊet al.Ê(2002)
Temperate Coniferous,Pinus taeda,8,Control,Model/model,Derived,1220,781,0.64,LaiÊet al.Ê(2002)
Temperate Coniferous,Pinus taeda,15,Ambient CO2,Biometric/model,Independent,2140,899,0.42,SchaferÊet al.Ê(2003)
Temperate Coniferous,Pinus taeda,15,Elevated CO2,Biometric/model,Independent,2899,1117,0.39,SchaferÊet al.Ê(2003)
Temperate Coniferous,Pinus radiata,20,Control,Biometric/model,Independent,2950,904,0.31,RyanÊet al.Ê(1996)
Temperate Coniferous,Pinus radiata,20,Irrigated,Biometric/model,Independent,2690,1142,0.42,RyanÊet al.Ê(1996)
Temperate Coniferous,Pinus radiata,20,"Irrigated, fertilized",Biometric/model,Independent,3690,1720,0.47,RyanÊet al.Ê(1996)
Temperate Coniferous,Pinus radiata,10,3_year_average,Biometric/model,Independent,1780,960,0.54,ArnethÊet al.Ê(1998)
Temperate Coniferous,Pinus radiata,10,Dry year,Biometric/model,Independent,1690,880,0.52,ArnethÊet al.Ê(1998)
Temperate Coniferous,Pinus radiata,10,Moist year,Biometric/model,Independent,1840,1060,0.58,ArnethÊet al.Ê(1998)
Temperate Deciduous,Liriodendron tulipifera,48,n/a,Biometric/scaling,Derived,2170,730,0.34,HarrisÊet al.Ê(1975)
Temperate Deciduous,"Quercus rubra, Acer rubrum",n/a,n/a,Biometric/scaling,Derived,1246,659,0.53,WaringÊet al.Ê(1998)
Temperate Deciduous,Nothofagus truncata,n/a,n/a,Biometric/scaling,Derived,2470,1010,0.41,WaringÊet al.Ê(1998)
Temperate Deciduous,Liquidambar styraciflua,12,Ambient CO2,Biometric/scaling,Derived,2002,1032,0.52,"DeLuciaÊet al.Ê(2005),ÊNorbyÊet al.Ê(2002)"
Temperate Deciduous,Liquidambar styraciflua,12,Elevated CO2,Biometric/scaling,Derived,2438,1198,0.49,"DeLuciaÊet al.Ê(2005),ÊNorbyÊet al.Ê(2002)"
Temperate Deciduous,"Betula ermanii, B. platyphylla, Quercus mongolia",40,n/a,Scaling/micromet,Derived,1146,817,0.71,SaigusaÊet al.Ê(2002)
Temperate Deciduous,"Quercus alba, Quercus pinus, Carya ovata",57,n/a,Micromet/model,Independent,1725,944,0.55,MalhiÊet al.Ê(1999)
Temperate Deciduous,Populus alba,5,Ambient CO2,Biometric/model,Independent,2585,1493,0.58,GielenÊet al.Ê(2005)
Temperate Deciduous,Populus alba,5,Elevated CO2,Biometric/model,Independent,2829,2029,0.72,GielenÊet al.Ê(2005)
Temperate Deciduous,Populus nigra,5,Ambient CO2,Biometric/model,Independent,2773,1983,0.72,GielenÊet al.Ê(2005)
Temperate Deciduous,Populus nigra,5,Elevated CO2,Biometric/model,Independent,2921,2413,0.83,GielenÊet al.Ê(2005)
Temperate Deciduous,Populus x euramericana,5,Ambient CO2,Biometric/model,Independent,2150,1532,0.71,GielenÊet al.Ê(2005)
Temperate Deciduous,Populus x euramericana,5,Elevated CO2,Biometric/model,Independent,2550,1853,0.73,GielenÊet al.Ê(2005)
Temperate Deciduous,Fagus sylvatica,40,n/a,Biometric/micromet,Independent,1298,522,0.4,GranierÊet al.Ê(2000)
Temperate Mixed,"Pinus strobes, Acer rubrum",76,n/a,Biometric/scaling,Derived,1585,661,0.42,CurtisÊet al.Ê(2005)
Temperate Mixed,"Quercus alba, Quercus coccinea, Pinus rigida",43,n/a,Biometric/scaling,Derived,1280,600,0.47,HarrisÊet al.Ê(1972)
Temperate Mixed,"Quercus alba, Quercus coccinea, Pinus rigida",20,n/a,Biometric/scaling,Derived,1324,598,0.45,Whittaker & Woodwell (1969)
Temperate Mixed,"Pinus strobes, Acer rubrum",76,n/a,Biometric/micromet,Independent,1221,661,0.54,CurtisÊet al.Ê(2005)
Temperate Mixed,"Quercus rubra, Acer rubrum, Taxus canadensis",100,n/a,"Biometric, model/micromet, model",Independent,1639,637,0.39,TurnerÊet al.Ê(2003)
Tropical,Eucalyptus saligna,5,Control,Biometric/scaling,Derived,2950,1485,0.5,GiardinaÊet al.Ê(2003)
Tropical,Eucalyptus saligna,5,Fertilized,Biometric/scaling,Derived,3950,2100,0.53,GiardinaÊet al.Ê(2003)
Tropical,>200 species/hectare,400,n/a,Biometric/scaling,Derived,3000,900,0.3,ChambersÊet al.Ê(2000)
Tropical,>200 species/hectare,500,n/a,Biometric/micromet,Independent,3040,1560,,
