measurement.ID,sites.sitename,plot.name,stand.age,dominant.life.form,dominant.veg,scientific.name,veg.notes,variable.name,date,date.loc,start.date,start.date.loc,end.date,end.date.loc,mean,n,stat.name,stat,area.sampled,notes,method.ID,allometry_1,allometry_2,min.dbh,depth,covariate_1,coV_1.value,covariate_2,coV_2.value,conflicts,R.group,S.group,D.group,D.precedence,conflict.type,D.precedence.measurement.ID,conflicts.notes,citation.ID,loaded.from,source.notes,measurement.ID.v1,loaded.by,checked.ori.pub,ForC.investigator,required.citations,flag.suspicious
63,Agua Pudre plot E AGP-01,unmanaged primary forest,999,woody,2TEB,NA,NAC,NPP_1_OM,NA,9,2004,8,2006,8,22.4,NI,NI,NI,NAC,NA,239,1.2,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Aragao_2009_aabn,Luyssaert_2007_cbob_v3.3,NA,3119,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,0
73,Agua Pudre plot U AGP-02,unmanaged primary forest,999,woody,2TEB,NA,NAC,NPP_1_OM,NA,9,2004,8,2006,8,23,NI,NI,NI,NAC,NA,239,1.2,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Aragao_2009_aabn,Luyssaert_2007_cbob_v3.3,NA,3128,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,0
92,Aheden,unmanaged,180,woody,2TDB,NA,NAC,ANPP_1_C,1995,8,NA,9,NA,9,1.25,NAC,NAC,NAC,NAC,NA,152,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
95,Aheden,unmanaged,180,woody,2TDB,NA,NAC,ANPP_2_C,1995,8,NA,9,NA,9,1.87,NAC,NAC,NAC,NAC,NA,152,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
99,Aheden,unmanaged,180,woody,2TDB,NA,NAC,NPP_1_C,1995,8,NA,9,NA,9,3.01,NAC,NAC,NAC,NAC,NA,152,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
338,Andrews 1,Managed,19,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,7.92,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
341,Andrews 1,Managed,19,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,8.74,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
345,Andrews 1,Managed,19,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,11.15,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
346,Andrews 1,Managed,19,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,11.02,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
362,Andrews 10,unmanaged,552,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,3.4,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
365,Andrews 10,unmanaged,552,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,3.76,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
369,Andrews 10,unmanaged,552,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,5.35,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
370,Andrews 10,unmanaged,552,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,5.21,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
386,Andrews 11,unmanaged,795,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.54,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
389,Andrews 11,unmanaged,795,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,6.29,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
393,Andrews 11,unmanaged,795,woody,2TEN,NA,NAC,NPP_2_C,2001,8,NA,9,NA,9,9.33,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law. site ref = Law 2004,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
394,Andrews 11,unmanaged,795,woody,2TEN,NA,NAC,NPP_1_C,2001,8,NA,9,NA,9,9.09,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
410,Andrews 12,unmanaged,629,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,3.53,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,"Original source listed in Luyssaert: Law, pers. comm.  Site Reference = Law 2004",NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
