Year,Ring,FluxName,Flux_g_C_m2_yr
2013,1,Isoprene,0.707063689
2014,1,Isoprene,0.790393686
2015,1,Isoprene,0.706997396
2016,1,Isoprene,0.816349975
2013,2,Isoprene,0.748563202
2014,2,Isoprene,0.83389075
2015,2,Isoprene,0.733285502
2016,2,Isoprene,0.946127428
2013,3,Isoprene,0.783793246
2014,3,Isoprene,0.796132627
2015,3,Isoprene,0.733285502
2016,3,Isoprene,0.876728158
2013,4,Isoprene,0.713659888
2014,4,Isoprene,0.790760871
2015,4,Isoprene,0.713176199
2016,4,Isoprene,0.830462749
2013,5,Isoprene,0.820193236
2014,5,Isoprene,0.860516654
2015,5,Isoprene,0.804135171
2016,5,Isoprene,0.939231674
2013,6,Isoprene,0.79876839
2014,6,Isoprene,0.811826755
2015,6,Isoprene,0.815821291
2016,6,Isoprene,0.942426824
2013,1,Monoterpenes,0.713843483
2014,1,Monoterpenes,0.797972502
2015,1,Monoterpenes,0.713776546
2016,1,Monoterpenes,0.82417768
2013,2,Monoterpenes,0.310389495
2014,2,Monoterpenes,0.345770307
2015,2,Monoterpenes,0.30405464
2016,2,Monoterpenes,0.392308915
2013,3,Monoterpenes,0.324997527
2014,3,Monoterpenes,0.330114016
2015,3,Monoterpenes,0.30405464
2016,3,Monoterpenes,0.363532712
2013,4,Monoterpenes,0.720502929
2014,4,Monoterpenes,0.798343209
2015,4,Monoterpenes,0.720014611
2016,4,Monoterpenes,0.838425771
2013,5,Monoterpenes,0.828057796
2014,5,Monoterpenes,0.868767857
2015,5,Monoterpenes,0.811845754
2016,5,Monoterpenes,0.948237656
2013,6,Monoterpenes,0.331206929
2014,6,Monoterpenes,0.336621541
2015,6,Monoterpenes,0.338277864
2016,6,Monoterpenes,0.390774468
2013,1,Sesquiterpenes,0.095945384
2014,1,Sesquiterpenes,0.107252892
2015,1,Sesquiterpenes,0.095936387
2016,1,Sesquiterpenes,0.110775045
2013,2,Sesquiterpenes,0.125389961
2014,2,Sesquiterpenes,0.139682966
2015,2,Sesquiterpenes,0.12283083
2016,2,Sesquiterpenes,0.158483454
2013,3,Sesquiterpenes,0.131291258
2014,3,Sesquiterpenes,0.133358197
2015,3,Sesquiterpenes,0.12283083
2016,3,Sesquiterpenes,0.146858555
2013,4,Sesquiterpenes,0.096840459
2014,4,Sesquiterpenes,0.107302719
2015,4,Sesquiterpenes,0.096774825
2016,4,Sesquiterpenes,0.112690085
2013,5,Sesquiterpenes,0.111296557
2014,5,Sesquiterpenes,0.116768266
2015,5,Sesquiterpenes,0.109117551
2016,5,Sesquiterpenes,0.127449543
2013,6,Sesquiterpenes,0.133799707
2014,6,Sesquiterpenes,0.135987082
2015,6,Sesquiterpenes,0.136656197
2016,6,Sesquiterpenes,0.157863575
