Species,Life form,Longitude,Latitude,MAT,MAP,K value_yr-1_,Ln(k),Size,C (mg/g),N (mg/g),C: N,P (mg/g),Lignin (%),Ca (mg/g),Reference
native ,Mixed,91.93,25.57,16.4,1829,1.62,0.48,fine root,471,11.8,39.9,0.36,25.9,,Arunachalam et al. 1996
native ,Mixed,91.93,25.57,16.4,1829,1.68,0.52,fine root,444,9.5,46.7,0.48,22.9,,Arunachalam et al. 1996
native ,Mixed,91.93,25.57,16.4,1829,1.74,0.55,fine root,446,7.4,60.3,0.88,22.3,,Arunachalam et al. 1996
Phaseolus vulgaris ,Graminoid,75.85,29.97,28,2500,0.033,-3.41,,473,12.2,38.8,,29.4,,Arunachalam et al. 2003
Pisum sativum,Graminoid,75.85,29.97,28,2500,0.032,-3.44,,462,15.5,29.8,,27.5,,Arunachalam et al. 2003
Eichhornia crassipes ,Graminoid,93.51,28,21.4,2727,4.745,1.56,,336,15.7,21.3,2.08,18.7,,Balasubramanian et al. 2012
Eichhornia crassipes ,Graminoid,93.51,28,21.4,2727,3.83,1.34,,296,12.3,24,1.93,23.9,,Balasubramanian et al. 2012
Eichhornia crassipes ,Graminoid,93.51,28,21.4,2727,3.03,1.11,,288,10.1,28.5,1.02,26.3,,Balasubramanian et al. 2012
Pinus sylvestris L. ,Conifer,16.5,60.82,3.8,609,0.195,-1.63,fine root,515,5.7,90.4,0.69,,1.6,Berg 1984
Pinus sylvestris L. ,Conifer,16.5,60.82,3.8,609,0.153,-1.88,fine root,514,3.4,151.2,0.73,,1.8,Berg 1984
Dacryodes excelsa ,Evergreen broadleaf,-65.75,18.28,22.5,4000,0.83,-0.19,fine root,511,16,31.9,0.67,26.8,3.4,Bloomfield et al. 1993
Prestoea montana,Evergreen broadleaf,-65.75,18.28,22.5,4000,0.6,-0.51,fine root,471,9,52.3,0.69,28.7,3.1,Bloomfield et al. 1993
native ,Graminoid,-105.82,40.67,-3.8,930,0.0062,-5.08,fine root,,11,,,,,Bryant et al. 1998
native ,Graminoid,-105.82,40.67,-3.8,930,0.0106,-4.55,fine root,,11,,,,,Bryant et al. 1998
native ,Graminoid,-105.82,40.67,-3.8,930,0.0067,-5.01,fine root,,11,,,,,Bryant et al. 1998
Halimione portulacoides ,Shrub ,5.29,52.13,9,807,0.441,-0.82,,,,,,,,Buth 1987
Halimione portulacoides ,Shrub ,5.29,52.13,9,807,0.311,-1.17,,,,,,,,Buth 1987
native ,Mixed,-65.38,-42.65,13.7,235.9,0.008,-4.83,fine root,417,8.4,49.7,,11.5,,Carrera et al. 2008
native ,Mixed,-65.38,-42.65,13.7,235.9,0.006,-5.12,fine root,446,8.7,51.3,,14.5,,Carrera et al. 2008
Picea sitchensis ,Conifer,-124,45.06,10,3420,0.021,-3.86,coarse root,,,,,,,Chen et al. 2001
Picea sitchensis ,Conifer,-124,45.06,10,3420,0.016,-4.14,coarse root,,,,,,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-124,45.06,10,3420,0.04,-3.22,coarse root,505,2.5,202,,31.3,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-124,45.06,10,3420,0.049,-3.02,coarse root,501,1.6,313,,24.5,,Chen et al. 2001
Pseudotsuga menziesii ,Conifer,-91.53,31.72,8.5,2300,0.011,-4.51,coarse root,513,2.7,190,,34,,Chen et al. 2001
Pseudotsuga menziesii ,Conifer,-91.53,31.72,8.5,2300,0.013,-4.34,coarse root,505,2.7,187,,32.1,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-91.53,31.72,8.5,2300,0.034,-3.38,coarse root,505,2.5,202,,31.3,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-91.53,31.72,8.5,2300,0.033,-3.41,coarse root,501,1.6,313,,24.5,,Chen et al. 2001
Pinus contorta ,Conifer,-121.61,43.74,5.7,525,0.025,-3.69,coarse root,506,2.1,241,,29.6,,Chen et al. 2001
Pinus contorta,Conifer,-121.61,43.74,5.7,525,0.03,-3.51,coarse root,512,2.8,183,,36.4,,Chen et al. 2001
Pinus ponderosa ,Conifer,-121.61,43.74,5.7,525,0.077,-2.56,coarse root,507,3.4,149,,27.2,,Chen et al. 2001
Pinus ponderosa ,Conifer,-121.61,43.74,5.7,525,0.073,-2.62,coarse root,511,1.8,284,,27.7,,Chen et al. 2001
native ,Evergreen broadleaf,-163,5.32,27,5050,1.064,0.06,fine root,440,12,36.7,,34.5,,Chimner and Ewel 2005
native ,Evergreen broadleaf,-163,5.32,27,5050,0.58,-0.54,fine root,442,13,34,,35.2,,Chimner and Ewel 2005
native ,Graminoid,-75.67,37.67,14.2,1050,0.51,-0.67,coarse root,,4.9,,0.7,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.43,-0.84,coarse root,,4.9,,0.7,17,,Conn and Day 1997
