Ring,Tree,CO2-trt,4/02/2015,27/03/2015,25/05/2015,10/07/2015,14/10/2015,14/12/2015
1,101,elevated,16.37,16.37,16.38,16.38,16.39,16.4
1,102,elevated,19.56,19.56,19.59,19.6,19.6,19.6
1,103,elevated,27.66,27.78,27.86,27.86,27.96,27.98
1,104,elevated,19.08,19.08,19.09,19.09,19.1,19.11
1,105,elevated,25.21,25.28,25.24,25.24,25.25,25.25
1,106,elevated,17.44,17.45,17.45,17.46,17.46,17.48
1,107,elevated,16.99,17.01,17.04,17.06,17.09,17.07
1,108,elevated,18.58,18.53,18.59,18.59,18.57,18.59
1,109,elevated,42.23,42.25,42.3,42.3,42.34,42.36
1,110,elevated,18.23,18.29,18.25,18.25,18.26,18.27
1,111,elevated,36.6,36.66,36.7,36.7,36.75,36.78
1,112,elevated,23.8,23.79,23.83,23.85,23.85,23.73
1,113,elevated,21.22,21.23,21.23,21.24,21.26,21.27
1,114,elevated,18.95,18.96,18.95,18.95,18.95,18.96
1,115,elevated,18.2,18.2,18.22,18.22,18.24,18.24
1,116,elevated,36,35.99,36.1,36.13,36.16,36.19
1,117,elevated,32.26,32.23,32.26,32.27,32.25,32.24
1,118,elevated,24.2,24.21,24.23,24.24,24.25,24.38
1,119,elevated,29.32,29.31,29.39,29.41,29.43,29.46
1,120,elevated,20.67,20.68,20.68,20.69,20.69,20.7
1,121,elevated,17.38,17.4,17.39,17.39,17.39,17.4
1,122,elevated,34.55,35.57,34.61,34.63,34.69,34.74
1,123,elevated,20.13,20.13,20.13,20.13,20.14,20.19
1,124,elevated,19.93,19.94,19.95,19.96,19.96,19.98
1,125,elevated,14.58,14.69,14.73,14.73,NA,NA
2,201,ambient,21.7,21.7,21.71,21.71,21.73,21.75
2,202,ambient,26.83,26.87,26.85,26.86,26.85,26.85
2,203,ambient,28.48,28.49,28.49,28.49,28.5,28.49
2,204,ambient,14.68,14.68,14.69,14.69,14.7,14.69
2,205,ambient,23.86,23.87,23.89,23.9,23.9,23.9
2,206,ambient,11.65,11.66,11.66,11.66,NA,NA
2,207,ambient,30.4,30.41,30.43,30.44,30.46,30.49
2,208,ambient,26.5,26.52,26.51,26.51,26.53,26.54
2,209,ambient,59.2,59.3,59.47,59.52,59.64,59.63
2,210,ambient,14.72,14.52,14.5,14.49,NA,NA
2,211,ambient,13.46,13.47,13.46,13.46,13.46,13.47
2,212,ambient,14.47,14.43,14.47,14.47,14.48,14.48
2,213,ambient,20.22,20.22,20.23,20.23,20.24,20.24
2,214,ambient,24.23,24.23,24.25,24.26,24.16,24.25
2,215,ambient,14.43,14.44,14.43,14.43,14.43,14.44
2,216,ambient,22.47,22.48,22.48,22.48,22.48,22.49
2,217,ambient,22.1,22.08,22.09,22.09,22.08,22.05
2,218,ambient,15.65,15.66,15.65,15.65,15.61,15.66
2,219,ambient,17.68,17.69,17.68,17.68,17.68,17.68
2,220,ambient,15.32,15.32,15.32,15.32,15.33,15.34
2,221,ambient,21.31,21.32,21.32,21.32,21.33,21.35
2,222,ambient,16.76,16.76,16.76,16.76,16.76,16.79
2,223,ambient,24.54,24.56,24.57,24.57,24.64,24.6
2,224,ambient,13.44,13.46,13.49,13.5,13.52,13.53
2,225,ambient,25.2,25.21,25.23,25.23,25.24,25.24
2,226,ambient,12.13,12.15,12.14,12.14,12.15,12.15
2,227,ambient,12.67,12.67,12.67,12.67,12.68,12.68
2,228,ambient,16.3,16.31,16.32,16.32,16.34,16.33
3,301,ambient,30.06,30.07,30.19,30.26,30.36,30.44
3,302,ambient,30.96,31.02,31.17,31.2,31.23,31.27
3,303,ambient,19.6,19.61,19.61,19.62,19.62,19.63
3,304,ambient,17.72,17.72,17.72,17.73,17.73,17.74
3,305,ambient,28.08,28.09,28.12,28.14,28.15,28.17
3,306,ambient,20.37,20.39,20.4,20.41,20.42,20.45
3,307,ambient,23.27,23.31,23.32,23.34,23.38,23.38
3,308,ambient,17.4,17.48,17.44,17.44,17.45,17.48
3,309,ambient,24.93,24.93,24.98,25,25.02,25.03
3,310,ambient,15.26,15.27,15.26,15.26,15.27,15.27
3,311,ambient,29.17,29.15,29.26,29.32,29.37,29.41
3,312,ambient,20.43,20.48,20.42,20.43,20.44,20.44
3,313,ambient,19.72,19.73,19.78,19.81,19.85,19.91
3,314,ambient,20.39,20.3,20.41,20.42,20.43,20.43
3,315,ambient,26.16,26.17,26.34,26.38,26.4,26.43
3,316,ambient,24.94,24.95,24.96,24.97,24.98,25
