plot,co2,treatment_fertilisation,year,c_leaf,c_wood,c_froot,fc_grow_leaf,fc_grow_wood,fc_grow_froot,fc_grow_repr,fc_npp,fc_repr_litter,fc_leaf_litter_pine,fc_leaf_litter_hardwood,fc_wood_to_litter,fc_froot_to_litter,n_leaf,n_wood,n_froot,fn_croot_to_litter,fn_wood_to_litter,fn_plantuptake,fn_leaf_to_litter,fn_leaf_to_store,ptrait_lai,ptrait_lai_peak,fw_transp 
1,AMB,AMB,1996,    245.0869,    3565.148,   103.08630,    180.8150,    662.8142,    36.30263,   4.5670718,899.274,   4.5670718,    116.2420,    54.69400,    25.49429,   21.936230,        5.50,       12.05,        1.92,        0.41,        0.41,        7.04,        2.06,        1.78,2.112164,3.16,          NA
2,ELE,AMB,1996,    300.5097,    4143.112,    63.70580,    203.1992,    640.9404,    33.79643,   0.3558768,890.6246,   0.3558768,    119.5080,    68.67800,    19.26284,    5.531035,        6.41,       13.53,        1.41,        0.34,        0.12,        6.94,        2.32,        1.84,2.429151,3.72,          NA
3,ELE,AMB,1996,    369.2083,    6428.621,    44.43580,    254.8874,    983.5422,    60.48294,   0.2382831,1310.62,   0.2382831,    201.1580,    27.14000,    33.76421,   26.411945,        9.42,       22.49,        0.95,        0.51,        0.56,       11.30,        2.99,        2.31,2.834603,3.91,          NA
4,ELE,AMB,1996,    346.5747,    4777.325,    92.70100,    218.4054,    759.3170,    70.83192,   0.4101218,1061.0123,   0.4101218,    172.2240,    38.68600,    34.43894,   34.743720,        7.00,       14.95,        1.71,        0.39,        0.64,        8.31,        2.59,        1.66,2.75526,3.79,          NA
5,AMB,AMB,1996,    372.8919,    5302.882,    82.92250,    263.4608,    838.0632,    15.74003,   0.8889791,1132.6895,   0.8889791,    208.3800,    41.99800,    53.17345,    1.127634,        7.91,       16.48,        1.86,        0.51,        0.03,        8.39,        3.54,        2.07,3.204082,4.55,          NA
6,AMB,AMB,1996,    325.4872,    5159.186,    63.19740,    227.4864,    717.2389,    46.11577,   0.1122680,1006.7386,   0.1122680,    191.2220,    27.50800,    72.81109,   22.425967,        6.93,       14.16,        1.36,        0.56,        0.48,        7.88,        2.65,        1.85,2.76189,3.8,          NA
1,AMB,AMB,1997,    265.4773,    4261.231,   115.92750,    201.1105,    693.8478,    34.77743,   0.4250000,947.3246,   0.4250000,    106.9040,    61.97120,    31.39553,   21.936230,        6.61,       14.89,        2.16,        0.54,        0.41,        7.89,        2.17,        2.07,2.29337,3.59,          NA
2,ELE,AMB,1997,    355.2030,    5016.393,    85.20210,    258.8096,    867.0008,    27.02733,   5.6800000,1176.2362,   5.6800000,    114.4756,    89.04680,    21.23987,    5.531035,        8.11,       17.82,        1.89,        0.45,        0.12,        9.60,        2.59,        2.21,2.846822,4.48,          NA
3,ELE,AMB,1997,    430.9976,    7641.964,    63.95590,    284.0228,   1211.9351,    45.93204,   0.5000000,1558.5596,   0.5000000,    191.8660,    30.53020,    28.31364,   26.411945,        9.36,       28.09,        1.37,        0.55,        0.56,       12.58,        2.93,        1.61,2.987918,4.17,          NA
4,ELE,AMB,1997,    377.2371,    5657.993,    99.80630,    282.6580,    878.0351,    41.84902,   0.0650000,1219.6138,   0.0650000,    166.2486,    45.86660,    45.21091,   34.743720,        8.50,       17.82,        1.84,        0.59,        0.64,        9.69,        2.59,        2.10,2.788027,4.04,          NA
5,AMB,AMB,1997,    397.1522,    6214.079,    77.99430,    268.8080,    907.0539,    15.39358,   0.3500000,1212.8062,   0.3500000,    190.2192,    44.69360,    42.04113,    1.127634,        9.29,       20.86,        1.75,        0.77,        0.03,        9.78,        3.17,        2.32,3.149123,4.51,          NA
6,AMB,AMB,1997,    334.5607,    5858.027,    78.88810,    254.5671,    697.3497,    38.11667,   0.1950000,1006.8716,   0.1950000,    178.8020,    36.97480,    38.67074,   22.425967,        7.34,       17.49,        1.70,        0.64,        0.48,        8.65,        2.73,        1.86,2.767616,3.9,          NA
1,AMB,AMB,1998,    288.9503,    4861.146,   128.76870,    200.8584,    595.9087,    34.77743,   0.3600000,846.3936,   0.3600000,    141.9560,    71.16660,    23.35323,   21.936230,        5.91,       16.14,        2.39,        0.36,        0.41,        6.53,        2.46,        2.04,2.842822,4.36,     390.648
2,ELE,AMB,1998,    431.7590,    5870.361,   106.69840,    288.9181,    845.6524,    27.02733,   0.7250000,1175.3179,   0.7250000,    177.1184,    94.32300,    74.54193,    5.531035,        8.98,       20.20,        2.37,        0.67,        0.12,        8.80,        3.13,        3.00,3.904548,6.09,     424.326
3,ELE,AMB,1998,    479.4655,    8619.503,    83.47600,    288.3410,    978.3432,    45.93204,   3.9400000,1332.1944,   3.9400000,    251.1646,    33.95260,    48.12000,   26.411945,       10.82,       30.63,        1.78,        0.68,        0.56,       10.61,        3.51,        2.86,3.628137,4.98,     545.311
4,ELE,AMB,1998,    431.2683,    6416.242,   106.91160,    261.6001,    751.3929,    41.84902,   2.5100000,1072.9528,   2.5100000,    238.1374,    51.95240,    48.16813,   34.743720,        8.47,       20.09,        1.97,        0.57,        0.64,        8.05,        3.31,        2.32,3.702082,5.24,     466.780
5,AMB,AMB,1998,    431.1838,    6986.435,    73.06610,    253.9944,    786.2787,    15.39358,   1.6100000,1075.145,   1.6100000,    220.6942,    45.20420,    40.15132,    1.127634,        9.71,       23.93,        1.64,        0.60,        0.03,        8.20,        3.53,        2.92,3.529863,4.99,     563.612
6,AMB,AMB,1998,    379.3819,    6435.324,    94.57880,    248.2963,    574.1189,    38.11667,   0.2150000,876.4709,   0.2150000,    215.7584,    38.50660,    50.06146,   22.425967,        8.44,       19.20,        2.03,        0.58,        0.48,        7.03,        2.95,        2.94,3.285178,4.61,     475.482
1,AMB,AMB,1999,    342.4714,    5611.784,   138.52260,    234.7670,    747.8043,   113.97757,   1.2677048,1109.8519,   1.2677048,    154.8569,    69.04642,    41.44793,   93.135353,        6.93,       18.35,        2.58,        0.53,        1.73,        8.70,        2.16,        2.64,2.776521,4.66,     412.456
2,ELE,AMB,1999,    484.0908,    6847.293,   122.24560,    286.6432,    974.8583,   112.61695,   3.0569144,1394.7731,   3.0569144,    230.3476,    91.22113,    59.82675,  136.618476,        9.63,       22.92,        2.71,        0.68,        3.03,       10.28,        2.98,        3.76,4.080685,6.89,     502.803
3,ELE,AMB,1999,    530.0980,    9706.752,    72.98000,    294.9711,   1106.6601,    85.83510,   8.0375777,1518.1671,   8.0375777,    294.9184,    30.44891,    80.17994,   62.812453,       10.67,       33.86,        1.56,        0.80,        1.34,       11.16,        3.27,        3.13,3.669973,5.47,     629.140
4,ELE,AMB,1999,    473.3451,    7353.781,   139.96990,    286.9813,    944.7118,   153.59737,   2.0437362,1429.1469,   2.0437362,    248.1876,    52.56481,    74.16988,  139.375470,        9.30,       22.60,        2.58,        0.91,        2.57,       10.80,        2.94,        3.26,3.476575,5.4,     521.653
