Comm,co2,treatment_o3,plot,year,fc_npp,fc_grow_repr,fc_leaf_litter,fc_grow_croot,fc_grow_wood,ptrait_lai,fc_froot_to_litter_1t2mm,fc_froot_to_litter_lt1mm,fc_grow_leaf,fc_grow_froot,ptrait_lai_peak,fc_grow_froot.1,ptrait_nconc_leaf,n_leaf,c_froot,c_croot,c_wood,c_leaf,fn_leaf_to_litter,ptrait_lma,ptrait_sla
A,AMB,AMB,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.88,        0.04,0.8,4.4,3.5,1.2,          NA,          NA,          NA
A,AMB,AMB,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.78,        0.04,0.9,4.5,3.6,1.2,          NA,          NA,          NA
A,AMB,AMB,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.89,        0.05,1,5,4.1,1.4,          NA,          NA,          NA
A,ELE,AMB,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.81,        0.05,0.9,5.1,4.2,1.3,          NA,          NA,          NA
A,ELE,AMB,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.62,        0.04,0.9,4.6,3.8,1.3,          NA,          NA,          NA
A,ELE,AMB,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.83,        0.05,1,4.9,3.8,1.3,          NA,          NA,          NA
A,AMB,ELE,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.46,        0.03,1.1,4.2,3,1,          NA,          NA,          NA
A,AMB,ELE,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        2.36,        0.05,1.2,4.1,3.1,1.1,          NA,          NA,          NA
A,AMB,ELE,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.66,        0.05,1.5,5.7,4.8,1.6,          NA,          NA,          NA
A,ELE,ELE,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.81,        0.04,1.5,4.1,3,1,          NA,          NA,          NA
A,ELE,ELE,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.48,        0.03,1.6,4.4,3.4,1.2,          NA,          NA,          NA
A,ELE,ELE,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.38,        0.04,1.7,5.2,4.2,1.4,          NA,          NA,          NA
AB,AMB,AMB,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.74,        0.04,0.4,2.2,2.4,1.2,          NA,          NA,          NA
AB,AMB,AMB,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.73,        0.04,0.4,2,2.1,1.1,          NA,          NA,          NA
AB,AMB,AMB,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.76,        0.07,0.6,3.3,3.8,1.8,          NA,          NA,          NA
AB,ELE,AMB,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.70,        0.05,0.6,2.7,2.8,1.5,          NA,          NA,          NA
AB,ELE,AMB,2,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.50,        0.05,0.5,2.8,3.1,1.5,          NA,          NA,          NA
AB,ELE,AMB,3,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.69,        0.05,0.5,2.7,2.9,1.5,          NA,          NA,          NA
AB,AMB,ELE,1,1997,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,        1.56,        0.04,0.3,2.3,2.6,1.3,          NA,          NA,          NA
