Ring,plot,tree,CO2,dbh_m,height_m,stemarea_m2,total.woodarea_m2,stemmass_kg,total.woodmass_kg
1,plot 1,1,ele,0.142666667,10.03,3.093333333,5.54,67.568,82.164
1,plot 1,2,ele,0.339333333,18.46666667,10.54,19.06666667,514.4133333,626.7533333
1,plot 1,3,ele,0.235666667,18.23333333,6.37,9.966666667,184.2266667,213.2
1,plot 1,4,ele,0.210666667,18.3,5.773333333,8.773333333,153.6133333,180.6733333
1,plot 1,5,ele,0.105333333,8.626666667,2.24,2.473333333,40.344,42.44866667
1,plot 1,6,ele,0.147333333,11.46666667,3.573333333,13.93333333,81.37133333,169.4666667
1,plot 1,7,ele,0.190333333,16.23333333,4.826666667,7.846666667,118.3533333,140.22
1,plot 1,8,ele,0.202666667,16.6,5.416666667,10.37,147.6,194.0666667
1,plot 1,9,ele,0.155,9.343333333,2.94,3.743333333,66.06466667,71.96866667
1,plot 1,10,ele,0.144666667,14.56666667,4.303333333,6.493333333,91.02,109.06
1,plot 1,11,ele,0.349666667,23.4,13.4,24.6,605.4333333,765.88
1,plot 1,12,ele,0.345666667,18.76666667,8.01,10.32333333,333.4666667,356.9733333
1,plot 1,13,ele,0.319,22.23333333,11.26666667,19.23333333,475.8733333,585.7533333
1,plot 1,14,ele,0.182333333,12.46666667,4.12,6.673333333,113.7066667,132.84
1,plot 1,15,ele,0.107,10.03666667,2.546666667,2.706666667,48.51666667,50.12933333
1,plot 1,16,ele,0.373333333,21.26666667,9.846666667,20.26666667,466.3066667,577.8266667
1,plot 1,17,ele,0.130333333,11.36666667,2.586666667,3.026666667,50.94933333,53.51866667
1,plot 1,18,ele,0.244333333,17.96666667,6.903333333,19.7,195.98,343.0333333
1,plot 1,19,ele,0.235333333,19.03333333,7.083333333,11.66666667,223.04,275.52
1,plot 1,20,ele,0.460333333,23.83333333,12.46666667,22.8,643.9733333,746.4733333
1,plot 1,21,ele,0.205333333,15.83333333,5.486666667,8.63,145.4133333,175.7533333
1,plot 1,22,ele,0.195666667,17.7,6.44,7.973333333,192.4266667,206.3666667
1,plot 1,23,ele,0.259666667,22.96666667,9.916666667,15.93333333,343.8533333,458.9266667
1,plot 1,24,ele,0.332666667,21.13333333,11.01333333,27.93333333,493.0933333,701.3733333
1,plot 1,25,ele,0.375666667,24.46666667,12.5,22.3,612.2666667,708.2066667
1,plot 1,26,ele,0.197666667,12.63333333,4.973333333,11.23333333,147.0533333,205.82
1,plot 1,27,ele,0.092333333,5.813333333,1.44,2.66,27.03266667,32.66333333
1,plot 1,28,ele,0.352,18.8,10.55666667,15.3,441.98,491.4533333
1,plot 1,29,ele,0.280666667,18.93333333,7.813333333,14.76666667,278.2533333,346.86
1,plot 1,30,ele,0.362,14.83333333,8.31,15.86666667,405.6266667,525.0733333
2,plot 2,1,amb,0.074466667,4.843333333,1.024,1.89,14.45933333,20.828
2,plot 2,2,amb,0.126933333,7.606666667,2.336666667,3.373333333,66.01,81.918
2,plot 2,3,amb,0.139,9.413333333,3.586666667,3.883333333,128.74,133.66
2,plot 2,4,amb,0.138,10.4,3.13,3.89,69.618,77.244
2,plot 2,5,amb,0.153,10.23333333,3.563333333,4.633333333,82.082,93.316
2,plot 2,6,amb,0.0866,7.81,1.483333333,2.13,20.254,23.42466667
2,plot 2,7,amb,0.120433333,3.923333333,1.097,1.49,27.88,32.41733333
2,plot 2,8,amb,0.239333333,17.4,6.633333333,18.96666667,215.66,366.54
2,plot 2,9,amb,0.266,18.86666667,9.48,27.73333333,365.72,639.8733333
2,plot 2,10,amb,0.315333333,17.66666667,6.51,29,251.4666667,529.9933333
2,plot 2,11,amb,0.141,9.876666667,3.033333333,7.946666667,65.32666667,110.7
2,plot 2,12,amb,0.105266667,3.243333333,1.453333333,2.57,47.91533333,70.848
2,plot 2,13,amb,0.122,9.573333333,2.646666667,5.813333333,47.66933333,73.44466667
2,plot 2,14,amb,0.135333333,10.4,4.506666667,12.73333333,99.49333333,197.8933333
2,plot 2,15,amb,0.183333333,15.76666667,4.82,9.34,116.9866667,154.4333333
2,plot 2,16,amb,0.272666667,18.36666667,8.4,21.26666667,301.76,425.3066667
2,plot 2,17,amb,0.568666667,23.2,14.06666667,53.93333333,870.5666667,1398.646667
2,plot 2,18,amb,0.153,9.78,4.066666667,8.73,99.22,149.24
2,plot 2,19,amb,0.132,12.56666667,3.086666667,4.636666667,63.14,71.88666667
2,plot 2,20,amb,0.232333333,17.7,8.383333333,16.13333333,246.2733333,346.86
2,plot 2,21,amb,0.164666667,12.23333333,3.523333333,5.09,80.934,94.57333333
2,plot 2,22,amb,0.235,19.93333333,7.673333333,14.2,227.96,292.4666667
2,plot 2,23,amb,0.0881,6.713333333,1.516666667,2.74,27.11466667,36.87266667
2,plot 2,24,amb,0.072966667,5.393333333,1.096333333,1.386666667,16.45466667,18.86
2,plot 2,25,amb,0.0825,5.913333333,1.156666667,1.47,17.08333333,18.42266667
2,plot 2,26,amb,0.201,17.76666667,5.776666667,12,158.5333333,217.3
2,plot 2,27,amb,0.192333333,10.01666667,3.466666667,4.19,98.67333333,103.8666667
2,plot 2,28,amb,0.154333333,8.55,2.96,5.67,69.372,91.56666667
2,plot 2,29,amb,0.186333333,11.73333333,4.696666667,7.896666667,133.66,154.16
2,plot 2,30,amb,0.211,11.66666667,4.953333333,14.66666667,164.82,255.5666667
2,plot 2,31,amb,0.132666667,10.7,2.9,5.76,61.172,80.852
2,plot 2,32,amb,0.143666667,8.04,2.94,6.116666667,68.52466667,107.4746667
2,plot 2,33,amb,0.256333333,17.93333333,7.953333333,17.43333333,284.54,383.76
2,plot 2,34,amb,0.26,14.36666667,5.29,19.26666667,191.3333333,326.36
2,plot 2,35,amb,0.185,16.66666667,5.556666667,14.7,139.4,228.2333333
3,plot 3,1,amb,0.117433333,3.85,1.009333333,1.393333333,20.96466667,23.56133333
3,plot 3,2,amb,0.104066667,5.506666667,1.74,4.22,36.162,59.532
3,plot 3,3,amb,0.203333333,15.6,5.38,11.86666667,148.42,209.1
3,plot 3,4,amb,0.204,13.7,4.796666667,9.113333333,163.18,208.28
3,plot 3,5,amb,0.332,19.73333333,9.13,20,382.94,534.9133333
3,plot 3,6,amb,0.0907,4.95,1.816666667,4.576666667,36.654,65.98266667
3,plot 3,7,amb,0.135333333,10.36666667,2.973333333,6.126666667,73.82733333,104.4133333
3,plot 3,8,amb,0.190333333,6.346666667,2.3,10.48,64.75266667,163.7266667
3,plot 3,9,amb,0.215666667,17.4,6.26,10.23,182.04,215.3866667
3,plot 3,10,amb,0.252666667,17.23333333,7.176666667,11.59666667,241.3533333,295.4733333
3,plot 3,11,amb,0.218333333,17.66666667,7.736666667,13.4,270.6,338.1133333
3,plot 3,12,amb,0.157666667,13.46666667,3.583333333,6.783333333,75.71333333,104.6866667
3,plot 3,13,amb,0.302,18.96666667,9.443333333,16.5,397.1533333,459.4733333
3,plot 3,14,amb,0.271333333,16.96666667,6.78,12.43333333,259.3933333,317.0666667
3,plot 3,15,amb,0.244,13.83333333,4.776666667,7.77,168.6466667,190.5133333
3,plot 3,16,amb,0.151,11.26666667,3.483333333,5.996666667,81.07066667,98.12666667
3,plot 3,17,amb,0.110333333,8.253333333,1.9,3.276666667,32.17133333,39.14133333
3,plot 3,18,amb,0.113833333,8.49,2.686666667,6.963333333,57.154,89.92666667
3,plot 3,19,amb,0.131666667,12.7,3.14,4.3,61.14466667,66.72066667
3,plot 3,20,amb,0.133333333,12.23333333,4.016666667,6.563333333,90.446,114.5266667
3,plot 3,21,amb,0.253333333,17.66666667,7.463333333,9.443333333,268.96,286.7266667
3,plot 3,22,amb,0.268333333,19,7.413333333,8.856666667,256.3866667,268.14
3,plot 3,23,amb,0.129666667,8.166666667,2.036666667,2.583333333,40.59,45.018
3,plot 3,24,amb,0.330333333,20.56666667,9.17,15.53333333,401.5266667,453.46
3,plot 3,25,amb,0.0907,8.273333333,2.013333333,4.643333333,29.49266667,50.512
3,plot 3,26,amb,0.148666667,11.93333333,3.243333333,5.363333333,74.456,87.46666667
3,plot 3,27,amb,0.195666667,11.66666667,3.126666667,10.28333333,79.07533333,160.72
3,plot 3,28,amb,0.242666667,15.66666667,4.883333333,7.323333333,159.6266667,173.84
3,plot 3,29,amb,0.268,20.1,9.06,16.3,357.52,440.0666667
3,plot 3,30,amb,0.341,20.43333333,10.05333333,18.4,484.8933333,604.8866667
