CO2,Ring,Dateform,FRB_0-10cm,FRP0d_0-10cm,FRPy0_0-10cm,TurnY0_0-10cm,C0_0-10cm,N0_0-10cm,P0_0-10cm,FRB_10-30cm,FRP0d_10-30cm,FRPy0_10-30cm,TurnY0_10-30cm,C0_10-30cm,N0_10-30cm,P0_10-30cm
Elevated,1,18-02-2014,193.7991807,,,,41.45995,1.01225,0.045992175,51.62294278,,,,43.16205,0.8555,0.03933305
Ambient,2,18-02-2014,123.3153194,,,,42.579375,1.0522,0.0414743,51.14201068,,,,43.7339,1.2263,0.01930635
Ambient,3,18-02-2014,189.1620846,,,,41.17093333,0.948966667,0.043506067,109.354139,,,,39.592175,0.7176,0.035233275
Elevated,4,18-02-2014,117.8898776,,,,42.238825,0.9918,0.03847,51.44408606,,,,43.2092,0.789625,0.036157325
Elevated,5,18-02-2014,145.4832377,,,,40.5027,1.197833333,0.04371055,80.81703276,,,,44.3477,0.9227,0.0277835
Ambient,6,18-02-2014,141.879423,,,,40.62325,1.064625,0.041003925,107.9387479,,,,39.34503333,0.827,0.034917167
Elevated,1,16-06-2014,115.4674436,0.152280424,55.58235485,0.35944619,37.06046667,1.100733333,0.044357467,49.82872297,0.353851026,129.1556245,2.546150889,42.02861667,0.979466667,0.042696567
Ambient,2,16-06-2014,79.93840309,0.148329845,54.14039343,0.532737042,38.1236,1.1867,0.0431106,110.9050849,0.444441903,162.2212944,2.002149978,38.67405,1.14155,0.024249967
Ambient,3,16-06-2014,158.8588489,0.213440229,77.90568349,0.447706882,36.58675,1.194125,0.046296075,68.53413572,0.481073325,175.5917636,1.974180299,37.2088375,0.9702625,0.026806733
Elevated,4,16-06-2014,162.5479832,0.387546912,141.4546229,1.008812594,37.2977,0.8173,0.037086,55.47055326,0.578411857,211.1203276,3.949324975,38.712,0.879,0.0406511
Elevated,5,16-06-2014,114.8911274,0.359328114,131.1547615,1.007432214,40.4866,0.9869,0.0451345,125.955037,0.919293309,335.5420578,3.245525937,35.82026667,1.044866667,0.038470833
Ambient,6,16-06-2014,124.1875,0.378218636,138.049802,1.037707359,37.3886,0.974733333,0.035318733,69.775,0.324535124,118.4553203,1.333102494,39.1136,0.890133333,0.0274743
Elevated,1,22-09-2014,136.5802605,0.415411408,151.6251638,1.203146558,41.4204,0.8879,0.03583555,39.59708059,0.562992712,205.4923399,4.595817576,45.44665,0.70965,0.026107567
