Ring,StripNo,Varsha_StripNo,LiveBiomassFW,LiveBiomassDW,DeadBiomassFW,DeadBiomassDW,LiveSubSampleFW,LiveSubSampleDW,LiveSubSampleLeafArea,LiveBiomassRWC,DeadBiomassRWC,LiveSubSampleRWC,LiveSubsampleSLA
1,1,4,24.9,12.02,16.26,10.44,17.18,3.69,540.3,2.67,1.8,3.66,146.42
1,2,1,52.19,19.12,11.84,8.8,14.12,3.95,578.3,2.77,1.9,2.57,146.41
1,3,2,14.27,8.84,11.99,9.45,6.97,2.08,281.2,3.31,1.13,2.35,135.19
1,4,3,14.39,9.05,8.35,7.65,5.6,1.8,257.7,2.89,1.56,2.11,143.17
2,1,4,18.54,10.83,16.2,11.31,7.32,2.43,230.7,2.12,1.19,2.01,94.94
2,2,1,67.34,16.69,13.78,10.2,18.8,4.08,587.9,5.34,1.19,3.61,144.09
2,3,2,32.35,13.75,11.24,8.67,14.48,3.44,549.9,2.84,1.75,3.21,159.85
2,4,3,24.81,11.58,12.42,9.8,6.7,1.86,194.5,3.02,1.01,2.6,104.57
3,1,4,48.62,14.41,21.25,11.44,20.92,4.51,564.6,4.74,2.31,3.64,125.19
3,2,1,53,19.4,22.13,13.4,13.58,3.39,428.5,2.75,1.41,3.01,126.4
3,3,2,34.98,16.09,19.04,12.3,6.8,1.96,239.1,2.12,1.32,2.47,121.99
3,4,3,28.38,12.35,13.79,9.44,12.8,3.06,370.1,3.11,1.94,3.18,120.95
4,1,4,66.9,21.96,32.66,18.05,19.13,4.25,519.7,3.04,1.35,3.5,122.28
4,2,1,31.03,13.21,11.01,9,10.69,3.27,308.5,2.97,1.12,2.27,94.34
4,3,2,24.35,11.86,13.08,9.67,13.43,3.93,383.9,2.68,1.38,2.42,97.68
4,4,3,14.33,9.12,15.57,11.2,5.46,1.67,218.2,2.71,1.09,2.27,130.66
5,1,4,15.37,8.59,11.49,9.33,6.82,1.72,246.2,4.88,1.01,2.97,143.14
5,2,1,29.35,13.62,15.18,10.19,11.34,3.14,392,2.45,1.67,2.61,124.84
5,3,2,36.1,14.21,9.22,7.71,15.14,4.05,588.7,3.12,2.96,2.74,145.36
5,4,3,35.3,12.83,12.65,8.96,14.6,3.41,573,3.99,2.1,3.28,168.04
6,1,4,40.4,14.62,16.68,11.55,17.15,3.64,510.3,3.47,1.18,3.71,140.19
6,2,1,21.8,11.23,21.22,13.45,11.19,3.64,461.3,2.62,1.24,2.07,126.73
6,3,2,17.03,9.28,8.88,7.93,6.3,1.81,256.8,3.73,1.3,2.48,141.88
6,4,3,53.82,11.54,24.38,13.19,10.7,2.1,341.8,9.74,1.87,4.1,162.76
